pred,gt,iou,dice
vol_0002,vol_0004,0.382576,0.553425
vol_0005,vol_0003,0.450160,0.620842
vol_0011,vol_0002,0.187241,0.315423
vol_0012,vol_0002,0.197719,0.330159
vol_0032,vol_0001,0.471889,0.641202
vol_0035,vol_0019,0.405565,0.577084
vol_0036,vol_0020,0.364820,0.534605
vol_0038,vol_0000,0.288571,0.447893
vol_0040,vol_0008,0.359105,0.528443
vol_0041,vol_0014,0.341544,0.509180
vol_0042,vol_0012,0.223793,0.365737
vol_0043,vol_0012,0.128939,0.228425
vol_0054,vol_0007,0.000000,0.000000
vol_0056,vol_0007,0.346101,0.514227
vol_0065,vol_0009,0.000000,0.000000
vol_0067,vol_0009,0.000000,0.000000
vol_0069,vol_0006,0.000000,0.000000
vol_0070,vol_0006,0.314005,0.477935
vol_0071,vol_0009,0.373981,0.544375
vol_0076,vol_0005,0.390065,0.561219
vol_0078,vol_0011,0.000000,0.000000
vol_0078,vol_0013,0.339730,0.507162
vol_0079,vol_0011,0.244745,0.393245
vol_0079,vol_0013,0.000000,0.000000
vol_0081,vol_0010,0.234309,0.379661
vol_0082,vol_0018,0.298895,0.460230
vol_0083,vol_0015,0.459487,0.629656
vol_0084,vol_0017,0.237934,0.384405
vol_0085,vol_0016,0.326340,0.492091
