pred,gt,iou,dice,label
vol_0002,vol_0004,0.382576,0.553425,TP
vol_0005,vol_0003,0.450160,0.620842,TP
vol_0012,vol_0002,0.197719,0.330159,TP
vol_0032,vol_0001,0.471889,0.641202,TP
vol_0035,vol_0019,0.405565,0.577084,TP
vol_0036,vol_0020,0.364820,0.534605,TP
vol_0038,vol_0000,0.288571,0.447893,TP
vol_0040,vol_0008,0.359105,0.528443,TP
vol_0041,vol_0014,0.341544,0.509180,TP
vol_0042,vol_0012,0.223793,0.365737,TP
vol_0056,vol_0007,0.346101,0.514227,TP
vol_0070,vol_0006,0.314005,0.477935,TP
vol_0071,vol_0009,0.373980,0.544375,TP
vol_0076,vol_0005,0.390065,0.561219,TP
vol_0078,vol_0013,0.339730,0.507162,TP
vol_0079,vol_0011,0.244745,0.393245,TP
vol_0081,vol_0010,0.234309,0.379661,TP
vol_0082,vol_0018,0.298895,0.460230,TP
vol_0083,vol_0015,0.459487,0.629656,TP
vol_0084,vol_0017,0.237934,0.384405,TP
vol_0085,vol_0016,0.326340,0.492091,TP
vol_0000,,0.000000,0.000000,FP
vol_0001,,0.000000,0.000000,FP
vol_0003,,0.000000,0.000000,FP
vol_0004,,0.000000,0.000000,FP
vol_0006,,0.000000,0.000000,FP
vol_0007,,0.000000,0.000000,FP
vol_0008,,0.000000,0.000000,FP
vol_0009,,0.000000,0.000000,FP
vol_0010,,0.000000,0.000000,FP
vol_0011,,0.000000,0.000000,FP
vol_0013,,0.000000,0.000000,FP
vol_0014,,0.000000,0.000000,FP
vol_0015,,0.000000,0.000000,FP
vol_0016,,0.000000,0.000000,FP
vol_0017,,0.000000,0.000000,FP
vol_0018,,0.000000,0.000000,FP
vol_0019,,0.000000,0.000000,FP
vol_0020,,0.000000,0.000000,FP
vol_0021,,0.000000,0.000000,FP
vol_0022,,0.000000,0.000000,FP
vol_0023,,0.000000,0.000000,FP
vol_0024,,0.000000,0.000000,FP
vol_0025,,0.000000,0.000000,FP
vol_0026,,0.000000,0.000000,FP
vol_0027,,0.000000,0.000000,FP
vol_0028,,0.000000,0.000000,FP
vol_0029,,0.000000,0.000000,FP
vol_0030,,0.000000,0.000000,FP
vol_0031,,0.000000,0.000000,FP
vol_0033,,0.000000,0.000000,FP
vol_0034,,0.000000,0.000000,FP
vol_0037,,0.000000,0.000000,FP
vol_0039,,0.000000,0.000000,FP
vol_0043,,0.000000,0.000000,FP
vol_0044,,0.000000,0.000000,FP
vol_0045,,0.000000,0.000000,FP
vol_0046,,0.000000,0.000000,FP
vol_0047,,0.000000,0.000000,FP
vol_0048,,0.000000,0.000000,FP
vol_0049,,0.000000,0.000000,FP
vol_0050,,0.000000,0.000000,FP
vol_0051,,0.000000,0.000000,FP
vol_0052,,0.000000,0.000000,FP
vol_0053,,0.000000,0.000000,FP
vol_0054,,0.000000,0.000000,FP
vol_0055,,0.000000,0.000000,FP
vol_0057,,0.000000,0.000000,FP
vol_0058,,0.000000,0.000000,FP
vol_0059,,0.000000,0.000000,FP
vol_0060,,0.000000,0.000000,FP
vol_0061,,0.000000,0.000000,FP
vol_0062,,0.000000,0.000000,FP
vol_0063,,0.000000,0.000000,FP
vol_0064,,0.000000,0.000000,FP
vol_0065,,0.000000,0.000000,FP
vol_0066,,0.000000,0.000000,FP
vol_0067,,0.000000,0.000000,FP
vol_0068,,0.000000,0.000000,FP
vol_0069,,0.000000,0.000000,FP
vol_0072,,0.000000,0.000000,FP
vol_0073,,0.000000,0.000000,FP
vol_0074,,0.000000,0.000000,FP
vol_0075,,0.000000,0.000000,FP
vol_0077,,0.000000,0.000000,FP
vol_0080,,0.000000,0.000000,FP
vol_0086,,0.000000,0.000000,FP
vol_0087,,0.000000,0.000000,FP
vol_0088,,0.000000,0.000000,FP
